




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
luteinizing hormone signaling pathway involved in ovarian follicle development (GO:0035471)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of vascular wound healing (GO:0035470)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
anterior neural tube closure (GO:0061713)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
siderophore transport (GO:0015891)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
anastral spindle assembly (GO:0055048)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
determination of pancreatic left/right asymmetry (GO:0035469)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
reticulophagy (GO:0061709)	21	0	.35	-	 < 0.01	1.00E00	1.00E00
cobalamin transport (GO:0015889)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
thiamine transport (GO:0015888)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
pantothenate transmembrane transport (GO:0015887)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
heme transport (GO:0015886)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
folic acid transport (GO:0015884)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
FAD transport (GO:0015883)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
L-ascorbic acid transmembrane transport (GO:0015882)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
coenzyme A transport (GO:0015880)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
vesicle cargo loading (GO:0035459)	27	0	.45	-	 < 0.01	1.00E00	1.00E00
cellular response to interferon-alpha (GO:0035457)	21	0	.35	-	 < 0.01	1.00E00	1.00E00
response to interferon-alpha (GO:0035455)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
intercellular bridge organization (GO:0043063)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
meiotic metaphase I homologous chromosome alignment (GO:0043060)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
carnitine transport (GO:0015879)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
biotin transport (GO:0015878)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA transport (GO:0015876)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
norepinephrine transport (GO:0015874)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
dopamine transport (GO:0015872)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
choline transport (GO:0015871)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
acetylcholine transport (GO:0015870)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle tissue development (GO:0055026)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle tissue development (GO:0055025)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle tissue development (GO:0055024)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle tissue growth (GO:0055023)	48	0	.80	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle fiber development (GO:0055020)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
forward locomotion (GO:0043056)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
borate transmembrane transport (GO:0035445)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nickel cation transmembrane transport (GO:0035444)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tripeptide transmembrane transport (GO:0035443)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
thermotaxis (GO:0043052)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
dipeptide transmembrane transport (GO:0035442)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
cell migration involved in vasculogenesis (GO:0035441)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
ADP transport (GO:0015866)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside transport (GO:0015864)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
uridine transmembrane transport (GO:0015862)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
cytidine transport (GO:0015861)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
purine nucleoside transmembrane transport (GO:0015860)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle fiber development (GO:0055018)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
atrial cardiac muscle cell development (GO:0055014)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
atrial cardiac muscle cell differentiation (GO:0055011)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside diphosphate biosynthetic process (GO:0009197)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside diphosphate metabolic process (GO:0009196)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
dolichyl monophosphate biosynthetic process (GO:0043048)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside diphosphate catabolic process (GO:0009195)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
maintenance of protein localization in endoplasmic reticulum (GO:0035437)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside diphosphate catabolic process (GO:0009192)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide biosynthetic process (GO:0043043)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
copper ion transmembrane transport (GO:0035434)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
amino acid activation for nonribosomal peptide biosynthetic process (GO:0043041)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
post-embryonic camera-type eye development (GO:0031077)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
nucleoside transport (GO:0015858)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
uracil transport (GO:0015857)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase transport (GO:0015855)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
guanine transport (GO:0015854)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
adenine transport (GO:0015853)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
nucleobase transport (GO:0015851)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
atrial cardiac muscle tissue morphogenesis (GO:0055009)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
ventricular cardiac myofibril assembly (GO:0055005)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
ribonucleoside diphosphate biosynthetic process (GO:0009188)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
tRNA aminoacylation (GO:0043039)	44	0	.73	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
amino acid activation (GO:0043038)	45	0	.75	-	 < 0.01	1.00E00	1.00E00
gluconate transmembrane transport (GO:0035429)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside diphosphate catabolic process (GO:0009184)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside diphosphate biosynthetic process (GO:0009183)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
extracellular matrix-cell signaling (GO:0035426)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside diphosphate metabolic process (GO:0009182)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
autocrine signaling (GO:0035425)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside diphosphate biosynthetic process (GO:0009180)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
spermidine transport (GO:0015848)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
putrescine transport (GO:0015847)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
polyamine transport (GO:0015846)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
monoamine transport (GO:0015844)	40	0	.67	-	 < 0.01	1.00E00	1.00E00
methylammonium transport (GO:0015843)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
aminergic neurotransmitter loading into synaptic vesicle (GO:0015842)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
urea transport (GO:0015840)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside monophosphate catabolic process (GO:0009178)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	17	0	.28	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate catabolic process (GO:0009175)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside monophosphate catabolic process (GO:0009172)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside monophosphate biosynthetic process (GO:0009171)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleoside monophosphate metabolic process (GO:0009170)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine transport (GO:0015838)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
chromatin remodeling at centromere (GO:0031055)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
amine transport (GO:0015837)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
pre-miRNA processing (GO:0031054)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
primary miRNA processing (GO:0031053)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
peptidoglycan transport (GO:0015835)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	23	0	.38	-	 < 0.01	1.00E00	1.00E00
nucleoside catabolic process (GO:0009164)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	33	0	.55	-	 < 0.01	1.00E00	1.00E00
regulatory ncRNA-mediated heterochromatin formation (GO:0031048)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
valine transport (GO:0015829)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
tyrosine transport (GO:0015828)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
tryptophan transport (GO:0015827)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
threonine transport (GO:0015826)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
L-serine transport (GO:0015825)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
phenylalanine transport (GO:0015823)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
ornithine transport (GO:0015822)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
methionine transport (GO:0015821)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
L-leucine transport (GO:0015820)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside monophosphate catabolic process (GO:0009159)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
ribonucleoside monophosphate biosynthetic process (GO:0009156)	36	0	.60	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleotide catabolic process (GO:0009155)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
maintenance of rDNA (GO:0043007)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleotide biosynthetic process (GO:0009153)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleotide metabolic process (GO:0009151)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
Golgi to plasma membrane protein transport (GO:0043001)	32	0	.53	-	 < 0.01	1.00E00	1.00E00
myosin II filament organization (GO:0031038)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
lysine transport (GO:0015819)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
myosin II filament disassembly (GO:0031037)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
isoleucine transport (GO:0015818)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
histidine transport (GO:0015817)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
myosin filament disassembly (GO:0031035)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
myosin filament assembly (GO:0031034)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
myosin filament organization (GO:0031033)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transport (GO:0015813)	28	0	.47	-	 < 0.01	1.00E00	1.00E00
L-cystine transport (GO:0015811)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate catabolic process (GO:0009149)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	17	0	.28	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
purine nucleoside triphosphate catabolic process (GO:0009146)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of hemoglobin biosynthetic process (GO:0046986)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of hemoglobin biosynthetic process (GO:0046985)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of hemoglobin biosynthetic process (GO:0046984)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside diphosphate catabolic process (GO:0009140)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
S-adenosyl-L-methionine transport (GO:0015805)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear migration along microfilament (GO:0031022)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
branched-chain amino acid transport (GO:0015803)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
basic amino acid transport (GO:0015802)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid transport (GO:0015801)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of lysosome size (GO:0062196)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
purine nucleoside diphosphate biosynthetic process (GO:0009136)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleoside diphosphate biosynthetic process (GO:0009133)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate catabolic process (GO:0009131)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
exocrine pancreas development (GO:0031017)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
purine nucleoside monophosphate biosynthetic process (GO:0009127)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
peptide antigen transport (GO:0046968)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytosol to endoplasmic reticulum transport (GO:0046967)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate biosynthetic process (GO:0009124)	47	0	.78	-	 < 0.01	1.00E00	1.00E00
3'-phosphoadenosine 5'-phosphosulfate transport (GO:0046963)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside metabolic process (GO:0009120)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
sensitization (GO:0046960)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
radial spoke assembly (GO:0062177)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
R-loop processing (GO:0062176)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
brexanolone catabolic process (GO:0062175)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
xanthine catabolic process (GO:0009115)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
hypoxanthine catabolic process (GO:0009114)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
brexanolone metabolic process (GO:0062173)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleobase biosynthetic process (GO:0009113)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
nucleobase metabolic process (GO:0009112)	37	0	.62	-	 < 0.01	1.00E00	1.00E00
lutein catabolic process (GO:0062172)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
vitamin catabolic process (GO:0009111)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
ketone body catabolic process (GO:0046952)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
vitamin biosynthetic process (GO:0009110)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
lutein metabolic process (GO:0062170)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
ketone body biosynthetic process (GO:0046951)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
behavioral response to starvation (GO:0042595)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor signaling pathway involved in heart process (GO:0086103)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine deacetylation (GO:0034983)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
mitochondrial protein processing (GO:0034982)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
endothelin receptor signaling pathway involved in heart process (GO:0086101)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA biosynthetic process (GO:0046949)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
lipoate biosynthetic process (GO:0009107)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
lipoate metabolic process (GO:0009106)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
hydroxylysine biosynthetic process (GO:0046947)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of substance P secretion, neurotransmission (GO:1904496)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hydroxylysine metabolic process (GO:0046946)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide catabolic process (GO:0009104)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of substance P secretion, neurotransmission (GO:1904494)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to ciliary transition zone (GO:1904491)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
vascular endothelial cell response to fluid shear stress (GO:0097699)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
telomere maintenance via base-excision repair (GO:0097698)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate phosphorylation (GO:0046940)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
establishment of protein-containing complex localization to telomere (GO:0097695)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of RNA localization to telomere (GO:0097694)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
protein folding in endoplasmic reticulum (GO:0034975)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular response to tetrahydrofolate (GO:1904482)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
response to tetrahydrofolate (GO:1904481)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glutamate receptor clustering (GO:0097688)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of intestinal absorption (GO:1904480)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
retinal metabolic process (GO:0042574)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via alternative nonhomologous end joining (GO:0097681)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
retinoic acid metabolic process (GO:0042573)	30	0	.50	-	 < 0.01	1.00E00	1.00E00
box H/ACA sno(s)RNA processing (GO:0034964)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
double-strand break repair via classical nonhomologous end joining (GO:0097680)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
retinol metabolic process (GO:0042572)	50	0	.83	-	 < 0.01	1.00E00	1.00E00
box C/D sno(s)RNA processing (GO:0034963)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of transport across blood-brain barrier (GO:0150202)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transport across blood-brain barrier (GO:0150201)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of transport across blood-brain barrier (GO:0150200)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of intestinal absorption (GO:1904479)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of intestinal absorption (GO:1904478)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
negative regulation of endothelin production (GO:1904471)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endothelin maturation (GO:0034959)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound catabolic process (GO:0042560)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
DNA ADP-ribosylation (GO:0030592)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of matrix metallopeptidase secretion (GO:1904466)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of matrix metallopeptidase secretion (GO:1904465)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of matrix metallopeptidase secretion (GO:1904464)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of substance P secretion (GO:1904460)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound biosynthetic process (GO:0042559)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
pteridine-containing compound metabolic process (GO:0042558)	31	0	.52	-	 < 0.01	1.00E00	1.00E00
symbiont intracellular protein transport in host (GO:0030581)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of substance P secretion (GO:1904458)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
fatty acid primary amide metabolic process (GO:0062126)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuronal action potential (GO:1904457)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial gene expression (GO:0062125)	35	0	.58	-	 < 0.01	1.00E00	1.00E00
negative regulation of neuronal action potential (GO:1904456)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of potassium:proton exchanging ATPase activity (GO:1904451)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of plasma cell differentiation (GO:1900099)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of aspartate secretion (GO:1904450)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
