




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
beta-1,3-galactosyltransferase activity (GO:0048531)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide transmembrane transporter activity (GO:0015218)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
urea transmembrane transporter activity (GO:0015204)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
methylammonium transmembrane transporter activity (GO:0015200)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
proton-dependent oligopeptide secondary active transmembrane transporter activity (GO:0005427)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
4-aminobutyrate:2-oxoglutarate transaminase activity (GO:0034386)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
inositol-1,2,3,4,6-pentakisphosphate 5-kinase activity (GO:0102732)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA-3'-diphospho-5'-guanosine diphosphatase (GO:0120108)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
fructose 6-phosphate aldolase activity (GO:0097023)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
COPII receptor activity (GO:0097020)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
diazepam binding (GO:0050809)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
D-glucose:sodium symporter activity (GO:0005412)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
acrosin binding (GO:0032190)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
L27 domain binding (GO:0097016)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
alpha-sialidase activity (GO:0016997)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
lipoate synthase activity (GO:0016992)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
SUMO polymer binding (GO:0032184)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
dinucleotide repeat insertion binding (GO:0032181)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core binding (GO:0001042)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
adipokinetic hormone binding (GO:0097004)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
adipokinetic hormone receptor activity (GO:0097003)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
mRNA 5'-diphosphatase activity (GO:0034353)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity (GO:0102704)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
protein deglycase activity (GO:0036524)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III general transcription initiation factor binding (GO:0001025)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
alpha-2 macroglobulin receptor activity (GO:0016964)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
misfolded RNA binding (GO:0034336)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial promoter sequence-specific DNA binding (GO:0001018)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription regulatory region sequence-specific DNA binding (GO:0001016)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity (GO:0001010)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
vasoactive intestinal polypeptide receptor activity (GO:0004999)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
transferrin receptor activity (GO:0004998)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
thyrotropin-releasing hormone receptor activity (GO:0004997)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
thyroid-stimulating hormone receptor activity (GO:0004996)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tachykinin receptor activity (GO:0004995)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
succinate-semialdehyde dehydrogenase binding (GO:0032145)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
platelet activating factor receptor activity (GO:0004992)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 3 promoter sequence-specific DNA binding (GO:0001006)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
parathyroid hormone receptor activity (GO:0004991)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
single thymine insertion binding (GO:0032143)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
oxytocin receptor activity (GO:0004990)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
single guanine insertion binding (GO:0032142)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 2 promoter sequence-specific DNA binding (GO:0001003)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 1 promoter sequence-specific DNA binding (GO:0001002)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
natriuretic peptide receptor activity (GO:0016941)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
FBXO family protein binding (GO:0098770)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
single base insertion or deletion binding (GO:0032138)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
G protein-coupled opioid receptor activity (GO:0004985)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
guanine/thymine mispair binding (GO:0032137)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
olfactory receptor activity (GO:0004984)	1159	0	74.89	-	 < 0.01	4.37E-35	1.12E-31
N-formyl peptide receptor activity (GO:0004982)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
melanocyte-stimulating hormone receptor activity (GO:0004980)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
3' overhang single-stranded DNA endodeoxyribonuclease activity (GO:1990599)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
short-chain fatty acyl-CoA dehydrogenase activity (GO:0016937)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
galactoside binding (GO:0016936)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
mast cell secretagogue receptor activity (GO:1990595)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
extracellularly glycine-gated chloride channel activity (GO:0016934)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
extracellularly glycine-gated ion channel activity (GO:0016933)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
BAT3 complex binding (GO:1904288)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
beta-endorphin receptor activity (GO:0004979)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
corticotropin receptor activity (GO:0004978)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
melanocortin receptor activity (GO:0004977)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
leukotriene receptor activity (GO:0004974)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
AMPA glutamate receptor activity (GO:0004971)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
deSUMOylase activity (GO:0016929)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
phospholipase D activator activity (GO:1990583)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
pyroglutamyl-peptidase activity (GO:0016920)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
calcitriol binding (GO:1902098)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histamine receptor activity (GO:0004969)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
gonadotropin-releasing hormone receptor activity (GO:0004968)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
glucagon receptor activity (GO:0004967)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
luteinizing hormone receptor activity (GO:0004964)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone receptor activity (GO:0004963)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
double-stranded methylated DNA binding (GO:0010385)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
endothelin receptor activity (GO:0004962)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
thromboxane receptor activity (GO:0004960)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
follicle-stimulating hormone activity (GO:0016913)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
prostaglandin F receptor activity (GO:0004958)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
prostaglandin E receptor activity (GO:0004957)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
prostaglandin D receptor activity (GO:0004956)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
translation termination factor activity (GO:0008079)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
dopamine neurotransmitter receptor activity (GO:0004952)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
cholecystokinin receptor activity (GO:0004951)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
chemokine receptor activity (GO:0004950)	25	0	1.62	-	 < 0.01	4.05E-01	1.00E00
ornithine decarboxylase inhibitor activity (GO:0008073)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor (GO:0016901)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
P-type divalent copper transporter activity (GO:0043682)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
calcitonin receptor activity (GO:0004948)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
bradykinin receptor activity (GO:0004947)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
bombesin receptor activity (GO:0004946)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
angiotensin type II receptor activity (GO:0004945)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
extracellularly glutamate-gated chloride channel activity (GO:0008068)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
beta2-adrenergic receptor activity (GO:0004941)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
beta1-adrenergic receptor activity (GO:0004940)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
chitin binding (GO:0008061)	11	0	.71	-	 < 0.01	1.00E00	1.00E00
beta-adrenergic receptor activity (GO:0004939)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
alpha2-adrenergic receptor activity (GO:0004938)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
ADP:phosphate antiporter activity (GO:0140988)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
ATP:phosphate antiporter activity (GO:0140987)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
ribonuclease T2 activity (GO:0033897)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
calcium:manganese antiporter activity (GO:0140983)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
CP2 mannose-ethanolamine phosphotransferase activity (GO:0051267)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial large ribosomal subunit binding (GO:0140978)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
lithium:proton antiporter activity (GO:0010348)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
prolactin receptor activity (GO:0004925)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
N-sulfoglucosamine-3-sulfatase activity (GO:0033889)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
calcium sensitive guanylate cyclase activator activity (GO:0008048)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
interleukin-11 receptor activity (GO:0004921)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity (GO:0033885)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-10 receptor activity (GO:0004920)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphatase activity (GO:0033883)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
carboxyl-O-methyltransferase activity (GO:0010340)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
choloyl-CoA hydrolase activity (GO:0033882)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-9 receptor activity (GO:0004919)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-8 receptor activity (GO:0004918)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
polyspecific organic cation:proton antiporter activity (GO:0140968)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-7 receptor activity (GO:0004917)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor activity (GO:0004915)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor activity (GO:0004914)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-3 receptor activity (GO:0004912)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-2 receptor activity (GO:0004911)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type II, blocking receptor activity (GO:0004910)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
beta-3 adrenergic receptor binding (GO:0031699)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
[heparan sulfate]-glucosamine 3-sulfotransferase 3 activity (GO:0033872)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
beta-2 adrenergic receptor binding (GO:0031698)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
beta-1 adrenergic receptor binding (GO:0031697)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
alpha-2C adrenergic receptor binding (GO:0031696)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
alpha-2B adrenergic receptor binding (GO:0031695)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
alpha-2A adrenergic receptor binding (GO:0031694)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
alpha-1B adrenergic receptor binding (GO:0031692)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
alpha-1A adrenergic receptor binding (GO:0031691)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
adrenergic receptor binding (GO:0031690)	23	0	1.49	-	 < 0.01	3.98E-01	1.00E00
interleukin-1, type I, activating receptor activity (GO:0004909)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor activity (GO:0004908)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
type II interferon receptor activity (GO:0004906)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
type I interferon receptor activity (GO:0004905)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
histone H3K36 trimethyltransferase activity (GO:0140955)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
interferon receptor activity (GO:0004904)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
histone H3K36 dimethyltransferase activity (GO:0140954)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor activity (GO:0004903)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
Fas-activated serine/threonine kinase activity (GO:0033867)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3K27 dimethyltransferase activity (GO:0140952)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
erythropoietin receptor activity (GO:0004900)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
A2A adenosine receptor binding (GO:0031687)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
G protein-coupled photoreceptor activity (GO:0008020)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
G-protein gamma-subunit binding (GO:0031682)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
histone H3K9 monomethyltransferase activity (GO:0140948)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
histone H3K4 dimethyltransferase activity (GO:0140946)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
citrate-L-glutamate ligase activity (GO:0072591)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3K4 monomethyltransferase activity (GO:0140945)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine kinase activity (GO:0033858)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
N-acetyl-L-aspartate-L-glutamate ligase activity (GO:0072590)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
histone H4K20 monomethyltransferase activity (GO:0140944)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
histone H4K20 trimethyltransferase activity (GO:0140943)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H4K20me methyltransferase activity (GO:0140941)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
17-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0072582)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase activity (GO:0140933)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
5'-(N(7)-methyl 5'-triphosphoguanosine)-[mRNA] diphosphatase activity (GO:0140932)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
neutral L-amino acid:sodium:chloride symporter activity (GO:0140931)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
fructose:sodium symporter activity (GO:0140930)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity (GO:0033842)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
alpha-1,4-glucan glucosyltransferase (NDP-glucose donor) activity (GO:0033840)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
mannose:sodium symporter activity (GO:0140929)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
poly-ADP-D-ribose binding (GO:0072572)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
L-kynurenine transmembrane transporter activity (GO:0140926)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
mono-ADP-D-ribose binding (GO:0072571)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
ADP-D-ribose binding (GO:0072570)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
aspartate:glutamate, proton antiporter activity (GO:0000515)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
3-sulfino-L-alanine: proton, glutamate antiporter activity (GO:0000514)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
H2A-H2B histone complex chaperone activity (GO:0000511)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
membrane destabilizing activity (GO:0140912)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
pore-forming activity (GO:0140911)	38	0	2.46	-	 < 0.01	1.75E-01	1.00E00
procollagen glucosyltransferase activity (GO:0033823)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
17-beta-ketosteroid reductase (NADPH) activity (GO:0072555)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
histone H3K122 acetyltransferase activity (GO:0140908)	21	0	1.36	-	 < 0.01	3.97E-01	1.00E00
high mobility group box 1 binding (GO:0070379)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
halogenase activity (GO:0140906)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
lipoyl(octanoyl) transferase activity (GO:0033819)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
haloperoxidase activity (GO:0140905)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
L-glutamine:sodium symporter activity (GO:0140902)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
L-asparagine:sodium symporter activity (GO:0140901)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
propanoyl-CoA C-acyltransferase activity (GO:0033814)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
L-tyrosine binding (GO:0072545)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
L-DOPA binding (GO:0072544)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
peroxynitrite reductase activity (GO:0072541)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine transmembrane transporter activity (GO:0015199)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
L-tryptophan transmembrane transporter activity (GO:0015196)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
L-threonine transmembrane transporter activity (GO:0015195)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
L-serine transmembrane transporter activity (GO:0015194)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
L-proline transmembrane transporter activity (GO:0015193)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine transmembrane transporter activity (GO:0015192)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
L-methionine transmembrane transporter activity (GO:0015191)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
L-lysine transmembrane transporter activity (GO:0015189)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
L-isoleucine transmembrane transporter activity (GO:0015188)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
L-glutamine transmembrane transporter activity (GO:0015186)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
L-cystine transmembrane transporter activity (GO:0015184)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transporter activity (GO:0015183)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
L-asparagine transmembrane transporter activity (GO:0015182)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
crotonyl-CoA hydratase activity (GO:0120092)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
oxalate transmembrane transporter activity (GO:0019531)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
Roundabout binding (GO:0048495)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
gap junction channel activity involved in cell communication by electrical coupling (GO:1903763)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
basic amino acid transmembrane transporter activity (GO:0015174)	19	0	1.23	-	 < 0.01	6.31E-01	1.00E00
aromatic amino acid transmembrane transporter activity (GO:0015173)	11	0	.71	-	 < 0.01	1.00E00	1.00E00
advanced glycation end-product receptor activity (GO:0050785)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
3'-flap-structured DNA binding (GO:0070337)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
flap-structured DNA binding (GO:0070336)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphate transmembrane transporter activity (GO:0015169)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glycerol transmembrane transporter activity (GO:0015168)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
aromatase activity (GO:0070330)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
polyol transmembrane transporter activity (GO:0015166)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
glucuronoside transmembrane transporter activity (GO:0015164)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
zinc ion transmembrane transporter activity (GO:0005385)	27	0	1.74	-	 < 0.01	4.17E-01	1.00E00
manganese ion transmembrane transporter activity (GO:0005384)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
iron ion transmembrane transporter activity (GO:0005381)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
inward rectifier potassium channel inhibitor activity (GO:0070320)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphate transmembrane transporter activity (GO:0015152)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
alpha-glucoside transmembrane transporter activity (GO:0015151)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
tricarboxylate secondary active transmembrane transporter activity (GO:0005371)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid transmembrane transporter activity (GO:0015142)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
succinate transmembrane transporter activity (GO:0015141)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
malate transmembrane transporter activity (GO:0015140)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
ribitol beta-1,4-xylosyltransferase activity (GO:0120053)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
myo-inositol:sodium symporter activity (GO:0005367)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
myo-inositol:proton symporter activity (GO:0005366)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
myo-inositol transmembrane transporter activity (GO:0005365)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
low-affinity D-glucose:sodium symporter activity (GO:0005362)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
insulin-responsive D-glucose:proton symporter activity (GO:0005360)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
fatty aldehyde dehydrogenase (NAD+) activity (GO:0102673)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
fumarate transmembrane transporter activity (GO:0015138)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
intracellularly ATP-gated ion channel activity (GO:0099142)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
citrate transmembrane transporter activity (GO:0015137)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
sialic acid transmembrane transporter activity (GO:0015136)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glucuronate transmembrane transporter activity (GO:0015135)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
U6 snRNA (adenine-(43)-N(6))-methyltransferase activity (GO:0120048)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
oxaloacetate transmembrane transporter activity (GO:0015131)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052926)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity (GO:0052925)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity (GO:0052923)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
fructose transmembrane transporter activity (GO:0005353)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
lactate transmembrane transporter activity (GO:0015129)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
bilirubin transmembrane transporter activity (GO:0015127)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
canalicular bile acid transmembrane transporter activity (GO:0015126)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
estrogen binding (GO:0099130)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052918)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase (GO:0052917)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
RS domain binding (GO:0050733)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
